key_retro,name
bairu101,Baird
bairu901,Baird
baisj001,Jeff Baisley
bajej001,Jeff Bajenaru
bakea101,Al Baker
bakeb001,Bryan Baker
bakeb101,Bill Baker
bakeb102,Charles Baker
bakec101,Chuck Baker
bakec102,Charlie Baker
bakec901,Charles Baker
baked001,Doug Baker
baked002,Dusty Baker
baked003,Darren Baker
baked101,Dave Baker
baked102,Del Baker
baked103,Dave Bakenhaster
baked104,Dick Baker
bakee101,Ernie Baker
bakee102,Edgar Baker
bakef101,Frank Baker
bakef102,Home Run Baker
bakef103,Floyd Baker
bakef104,Frank Baker
bakeg101,Gene Baker
bakeg102,George Baker
bakeh101,Howard Baker
bakeh102,Henry Baker
bakej001,Jeff Baker
bakej002,John Baker
bakej101,Jesse Baker
bakej102,Jersey Bakley
bakej103,Jack Baker
bakej104,Jesse Baker
bakej902,Jordan Baker
bakek101,Kirtley Baker
bakel001,Luken Baker
bakel101,Lonny Baker
baken101,Norm Baker
baken102,Neal Baker
bakep101,Phil Baker
baker101,Rufus Baker
bakes001,Scott Baker
bakes002,Scott Baker
bakes101,Steve Baker
baket101,Tracy Baker
baket102,Tom Baker
baket103,Tom Baker
bakop001,Paul Bako
balaj001,Jordan Balazovic
balaj101,John Balaz
balam101,Mike Balas
balbs001,Steve Balboni
balcb101,Bobby Balcena
balda001,Alberto Baldonado
baldb001,Brooks Baldwin
baldb101,Billy Baldwin
baldd001,Drake Baldwin
baldd101,Dave Baldwin
baldf101,Frank Baldwin
baldh101,Harry Baldwin
baldh102,Henry Baldwin
baldj001,Jeff Baldwin
baldj002,James Baldwin
baldj101,Jack Baldschun
baldk101,Kid Baldwin
baldl101,Lady Baldwin
baldm101,Mark Baldwin
baldo101,Orson Baldwin
baldr001,Rocco Baldelli
baldr101,Rick Baldwin
baldr102,Reggie Baldwin
baldr103,Robert Baldwin
baldt101,Tiny Baldwin
baldu101,Baldwin
baldu901,Baldwin
balec001,Collin Balester
balej001,John Bale
balel101,Lee Bales
balem101,Mike Balenti
balew001,Wladimir Balentien
balfg001,Grant Balfour
balla101,Art Ball
ballb901,Brock Ballou
balld101,Del Ballinger
ballf901,Frank Ballina
ballj001,Jay Baller
ballj002,Jeff Ballard
ballj003,Jeff Ball
ballj101,Jim Ball
balll901,Lee Ballanfant
ballm001,Moises Ballesteros
ballm101,Mark Ballinger
balln101,Neal Ball
ballp101,Pelham Ballenger
ballp102,Pedro Ballester
ballw101,Win Ballou
ballw102,Walter Ball
balsd801,Darren Balsley
balst101,Tony Balsamo
bambg101,George Bamberger
bambh101,Hal Bamberger
bambm901,Mike Bambonek
banau901,Banaham
bancd101,Dave Bancroft
bancf801,Frank Bancroft
bancs101,Studs Bancker
banda001,Anthony Banda
bandc001,Chris Bando
bandj001,Jett Bandy
bands101,Sal Bando
baned101,Dick Baney
banee101,Eddie Bane
banfw001,Will Banfield
banij001,Jeff Banister
bankb001,Brian Banks
bankb101,Bill Bankston
bankb102,Bill Yerrick
bankd101,Dan Bankhead
banke101,Ernie Banks
bankf101,Fred Bankhead
bankf102,F. Banks
bankg101,George Banks
bankg102,G. Banks
bankj001,Josh Banks
bankj101,James Banks
bankn101,Norman Banks
banks001,Scott Bankhead
banks101,Sam Bankhead
bankt001,Tanner Banks
banku101,Banks
banku901,Banks
banku902,Bankhead
bankw001,Willie Banks
bankw002,Wes Bankston
banna001,Alan Bannister
bannb001,Brian Bannister
bannf001,Floyd Bannister
bannj101,Jimmy Bannon
bannj102,Jim Banning
bannr001,Rylan Bannon
bannt101,Tom Bannon
bantb001,Brandon Bantz
bantj101,Jack Banta
banud001,David Banuelos
banum001,Manny Banuelos
baptt001,Travis Baptist
barac001,Caleb Baragar
baram101,Manuel Baranda
barar001,Rod Barajas
barbb001,Bret Barberie
barbb002,Brian Barber
barbb101,Bull Barbour
barbb102,Bud Barbee
barbc101,Charlie Barber
barbd101,Dave Barbee
barbf101,Frank Barberich
barbj001,Johnny Barbato
barbj101,Jap Barbeau
barbj102,Jim Barbieri
barbj103,Jesse Barber
barbl101,Lamb Barbee
barbr101,Red Barbary
barbs101,Steve Barber
barbs102,Steve Barber
barbs103,Sam Barber
