player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
407873,2004,DET,,1,0,41,0,32.0,31,24,8,0,0,0,33,23,24,1,3,1,0,147,9,0,0,2
407873,2007,ATL,,0,1,7,0,3.667,4,4,1,0,0,0,9,2,2,0,1,0,0,22,1,0,0,0
407874,2002,LAN,,0,1,4,1,10.333,7,2,1,0,0,0,9,5,5,0,0,0,0,40,1,0,0,2
407874,2003,LAN,,0,1,5,0,5.667,3,6,1,0,0,0,9,8,8,0,0,1,0,31,3,1,0,2
407875,2002,FLO,,2,0,20,2,29.667,20,21,2,0,0,0,33,15,17,3,0,5,0,144,5,1,3,5
407878,2003,ARI,,2,1,54,0,50.333,71,26,4,0,0,10,24,12,16,2,2,2,0,204,33,0,1,1
407878,2004,ARI,,1,2,29,0,29.667,38,17,7,0,0,8,23,14,17,4,4,1,0,131,20,3,2,2
407878,2005,ARI,,3,4,61,0,66.333,75,20,5,0,0,15,51,18,19,1,3,2,0,268,34,3,1,3
407878,2006,ARI,,2,3,44,0,49.333,69,22,6,0,0,18,50,32,32,3,2,2,0,223,35,1,3,0
407878,2007,ARI,,1,4,65,0,64.333,78,26,7,0,0,47,46,19,21,1,1,3,0,265,59,0,1,5
407878,2008,HOU,,6,3,74,0,72.0,83,23,10,0,0,44,62,27,28,6,3,2,2,303,71,0,2,0
407878,2009,HOU,,4,2,52,0,54.0,56,21,5,0,0,25,40,14,15,1,1,2,0,219,45,1,2,3
407878,2010,DET,,2,4,60,0,63.0,63,32,5,0,0,26,41,21,24,1,3,3,0,259,55,0,1,8
407878,2011,DET,,2,4,75,0,72.333,69,34,5,0,0,49,52,18,21,4,3,3,1,301,70,2,0,4
407878,2012,DET,,3,4,71,0,69.0,48,27,3,0,0,35,59,29,34,5,1,4,0,294,67,2,3,3
407878,2013,DET,,0,1,20,0,19.333,19,6,6,0,0,9,18,12,12,0,0,2,0,84,18,0,0,1
407878,2014,NYN,,1,1,21,0,20.667,23,10,4,0,0,2,24,13,16,3,1,0,0,95,13,0,0,1
407881,2002,NYN,,0,0,32,0,25.667,21,14,0,0,0,0,22,7,7,0,0,1,1,113,7,0,3,1
407881,2003,NYN,,1,1,27,0,32.333,19,20,4,0,0,0,32,21,21,1,3,0,1,144,9,2,2,3
407881,2004,KCA,,1,4,53,0,45.667,33,30,1,0,0,2,41,16,21,3,4,3,0,206,16,2,3,5
407881,2005,KCA,,1,4,20,0,19.0,18,11,3,0,0,0,21,14,14,2,2,0,0,89,1,3,1,0
407882,2002,NYN,,0,0,5,0,8.0,4,1,0,0,0,0,6,1,1,1,0,0,1,30,4,0,0,1
407882,2003,NYN,,0,0,6,0,9.0,5,11,4,0,0,0,13,11,11,0,0,0,0,48,1,0,0,2
407883,2002,DET,,1,0,7,0,6.667,6,2,0,0,0,1,3,0,0,1,0,1,0,25,1,2,0,0
407883,2003,DET,,2,4,45,0,44.667,41,45,5,0,0,5,47,30,32,3,8,2,1,222,15,2,1,6
407883,2004,DET,,1,0,16,0,14.667,8,11,4,0,0,0,17,12,15,1,2,0,0,73,5,1,0,1
407883,2005,DET,,4,0,58,0,59.0,38,34,7,0,0,1,63,24,26,4,4,7,1,270,19,2,5,11
407883,2006,FLO,,0,0,12,0,12.0,6,14,1,0,0,0,7,4,4,2,0,1,0,57,3,1,0,0
407883,2008,TEX,,1,3,17,0,21.667,15,13,0,0,0,0,18,5,5,1,1,0,0,93,9,3,3,1
407884,2004,NYN,,2,4,21,7,46.667,35,25,6,0,0,0,61,33,36,3,1,3,1,228,2,2,2,4
407884,2006,ATL,,2,5,56,0,50.0,46,31,6,0,0,1,42,22,23,8,1,0,0,217,11,2,0,6
407884,2007,ATL,,2,3,75,0,66.0,69,31,6,0,0,2,64,38,44,8,2,3,0,294,14,4,1,1
407884,2008,PIT,,6,3,72,0,73.333,63,41,6,0,0,1,72,38,39,4,5,2,0,331,16,4,1,5
407884,2009,PIT,,0,2,15,0,12.0,9,7,2,0,0,0,14,10,12,1,0,1,0,56,2,2,1,1
407889,2004,TEX,,0,0,2,0,1.333,4,2,0,0,0,0,4,2,2,0,0,0,0,10,1,0,0,0
407889,2005,WAS,,1,1,14,0,13.0,8,8,4,0,0,0,18,8,8,1,0,1,0,64,0,1,0,1
407889,2006,WAS,,0,0,8,0,11.333,4,6,2,0,0,0,13,8,8,1,1,3,0,54,2,2,1,2
407890,2002,TEX,,1,3,15,4,34.333,28,26,4,0,0,0,42,24,26,2,3,2,1,168,4,2,0,4
407890,2003,TEX,,10,9,26,26,127.0,88,70,23,0,0,0,163,103,104,1,5,5,0,594,0,2,2,12
407890,2004,TEX,,1,1,3,3,15.333,11,13,1,0,0,0,13,7,7,0,0,1,0,71,0,0,0,2
407890,2006,DET,,0,0,2,0,3.0,5,1,1,0,0,0,8,1,1,0,0,0,0,18,1,0,0,0
407890,2007,OAK,,0,2,26,1,37.667,23,14,7,0,0,0,44,27,28,3,1,3,1,170,8,1,2,5
407890,2010,TEX,,12,13,32,32,201.0,196,65,21,1,0,0,174,83,90,0,9,6,0,844,0,4,4,12
407890,2011,TEX,,14,10,32,32,200.333,169,56,35,2,1,0,187,98,103,1,4,6,0,839,0,4,5,10
407890,2012,TEX,,6,6,16,16,105.0,93,14,16,2,0,0,99,40,48,0,2,6,0,427,0,1,2,5
407890,2014,TEX,,10,14,29,29,170.333,133,48,25,2,1,0,211,98,107,5,3,8,1,762,0,3,9,7
